org_nm, org_PAC_ID, measure_cd, measure_title, prf_rate, patient_count, FN
USC CARE MEDICAL GROUP INC,446157747,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",63,156,
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",59,215,
BEAVER MEDICAL GROUP PC,547164295,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",49,183,
CAPE PHYSICIANS ASSOCIATES PA,749333730,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",67,234,
ALLIANCE PHYSICIANS INC,840104360,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",66,260,
REX HOSPITAL INC,840109864,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",73,127,
SCL HEALTH MEDICAL GROUP DENVER LLC,840513552,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",58,274,
GRITMAN MEDICAL CENTER INC,941545784,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",46,174,
COMMUNITY MEDICAL GROUP LLC,1052612785,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",65,271,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",61,73,
ST MARYS HOSPITAL AND MEDICAL CENTER INC,1557267069,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",,,1
ALBANY MEDICAL COLLEGE,1759293111,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",65,210,
GROUP HEALTH PLAN INC,1759293954,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",60,269,
OHH PHYSICIANS LLC,1759392079,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",75,96,
UNITED REGIONAL PHYSICIAN GROUP,2163417478,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",63,185,
MARSHFIELD CLINIC INC,2264345206,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",56,191,
SIU PHYSICIANS AND SURGEONS INC,2365352820,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",,,1
CHRISTIANA CARE HEALTH INITIATIVES,2466351481,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",68,98,
HARBOR MEDICAL ASSOCIATES INC,2466356209,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",57,214,
SCL HEALTH MEDICAL GROUP - BUTTE LLC,2466633102,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",66,135,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",69,216,
CAMPBELL COUNTY HOSPITAL DISTRICT,2860392529,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",64,220,
SUMMIT MEDICAL GROUP PLLC,2860396330,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",70,331,
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",,,1
THE VANCOUVER CLINIC INC PS,3173436490,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",60,227,
WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,3173660776,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",72,226,
UTMB FACULTY GROUP PRACTICE,3375456734,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",,,1
"UNIVERSITY OF LOUISVILLE PHYSICIANS, INC",3476725599,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",69,269,
CITY OF HOPE MEDICAL FOUNDATION,3779751656,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",72,160,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",65,175,
SUTTER BAY MEDICAL FOUNDATION,4284538778,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",65,205,
PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,4385538735,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",,,1
"MEDICAL ASSOCIATES OF EAST AL, PC",4486568698,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",,,1
SJHMC PHYSICIAN SERVICES C/O DIGNITY HEALTH,4486646197,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",59,199,
THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,4587575550,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",68,188,
LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,4587578042,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",75,287,
UNIVERSITY OF VIRGINIA PHYSICIANS GROUP,4880590728,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",63,223,
KAUAI MEDICAL CLINIC,5092628479,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",60,246,
PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,5193900280,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",,,1
KALISPELL REGIONAL MEDICAL CENTER INC,5294644381,CAHPS_GRP_1,"Getting Timely Care, Appointments, and Information",60,233,
